date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Haryana,Mahendragarh,123029,280,577
01-03-2025,Bihar,Madhepura,852121,144,369
01-03-2025,Jammu and Kashmir,Punch,185101,643,1091
01-03-2025,Bihar,Bhojpur,802158,256,980
01-03-2025,Tamil Nadu,Madurai,625514,271,815
01-03-2025,Maharashtra,Ratnagiri,416702,155,529
01-03-2025,Gujarat,Anand,388130,75,143
01-03-2025,Gujarat,Gandhinagar,382421,192,298
01-03-2025,Odisha,Dhenkanal,759025,122,214
01-03-2025,Gujarat,Valsad,396055,67,85
01-03-2025,Tamil Nadu,Salem,636119,103,63
01-03-2025,West Bengal,Hooghly,712414,91,97
01-03-2025,West Bengal,Paschim Medinipur,721147,86,116
01-03-2025,Kerala,Wayanad,670721,75,293
01-03-2025,Rajasthan,Sawai Madhopur,322027,108,300
01-03-2025,Bihar,Vaishali,844504,426,958
01-03-2025,Tamil Nadu,Karur,639105,131,103
01-03-2025,Punjab,Rupnagar,140118,38,97
01-03-2025,Gujarat,Sabarkantha,383440,56,91
01-03-2025,Himachal Pradesh,Una,177039,24,30
